id,name,cluster,fitness,year
642,Romania,2,0.18841711755581173,2003
703,Slovakia,0,0.21620004434414586,2003
705,Slovenia,0,0.18990597662420247,2003
752,Sweden,1,1.278689794053531,2003
724,Spain,0,2.457400542984828,2003
826,United Kingdom,1,4.606459385241658,2003
40,Austria,0,1.3379233571247482,2004
56,Belgium,0,3.6103046091906377,2004
100,Bulgaria,1,0.09937819986963367,2004
191,Croatia,1,0.07961984712685552,2004
196,Cyprus,0,0.01003427665001801,2004
203,Czechia,0,0.7970568874252733,2004
208,Denmark,1,0.9774867630771932,2004
233,Estonia,1,0.06510712765028807,2004
246,Finland,1,0.7285396594381341,2004
251,France,0,5.044353078882766,2004
276,Germany,0,10.464631022373046,2004
300,Greece,1,0.1847806988057684,2004
348,Hungary,1,0.4518355949791125,2004
