nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,GE10,LC_H,PPS,CZ	17.46 	17.29 	16.16 	16.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,DE	38.68 	36.46 	35.62 	34.68 	33.24 	31.96 	31.43 	29.11 	28.92 	28.98 	30.57 	28.91 	27.31 	26.94 	26.81 	25.47 
B,GE10,LC_H,PPS,DK	36.61 	34.04 	28.85 	27.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,EL	: 	: 	21.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,ES	27.81 	27.39 	24.74 	24.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,FI	24.83 	23.36 	23.63 	24.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,FR	33.15 	31.07 	29.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,HR	16.43 p	14.37 p	16.41 p	16.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,HU	13.72 	12.24 	13.25 	12.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,IE	23.97 	22.82 	22.68 	22.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,IT	: 	: 	: 	35.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,LT	9.64 	10.02 	10.48 	11.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,LV	8.42 	8.93 	8.39 	8.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,MT	: 	: 	9.51 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,NL	62.82 	55.33 	51.72 	54.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,PL	24.72 	21.31 	21.12 	19.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,PT	15.20 	14.86 	13.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,RO	14.32 	14.24 	17.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,SE	34.34 	32.58 	30.85 	31.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,SI	24.07 p	23.93 p	21.44 p	24.33 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
