nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C,PPS,CY	3416.8 	3303.4 	3116.9 	2920.8 	2793.6 	2600.0 	2497.0 	2404.6 	2305.7 	2215.3 	2138.4 	2061.5 	1934.0 	: 
C,PPS,CZ	: 	2159.8 	2042.9 	1850.8 	1757.2 	1686.5 	1594.4 	1538.4 	1450.4 	1374.9 	1281.0 	1222.4 	1151.3 	1027.7 
C,PPS,DE	: 	4300.1 	4337.2 	4371.6 	4129.2 	4021.3 	3991.4 	4167.7 	4057.7 	3795.9 	3688.2 	3652.4 	3327.5 	: 
C,PPS,DK	: 	4765.1 	4713.4 	4258.9 	4212.4 	4186.4 	4187.8 	3514.3 	3658.5 b	3714.1 	3829.3 	3529.4 	: 	: 
C,PPS,EE	1681.3 	1519.8 	1283.7 	1186.5 	1204.6 	1140.1 	1074.8 	995.8 	918.3 	780.2 	745.7 	722.4 	675.6 	: 
C,PPS,EL	: 	: 	: 	: 	: 	2670.9 	2708.3 	2498.5 	2323.8 	2183.6 	2097.2 	2077.9 	2028.6 	2008.2 
C,PPS,ES	: 	3130.1 	3092.8 	3021.3 	2953.1 	2963.1 	2944.0 	2829.1 b	2917.8 	2869.9 	2737.9 	2798.2 	2747.2 	: 
C,PPS,FI	3704.8 	3605.9 	3342.3 	3116.9 	2881.8 	2797.5 	2695.2 	2458.9 	2512.5 	2338.9 	2235.6 	2203.7 	2126.4 	: 
C,PPS,FR	3147.7 	3108.2 	2970.6 	3051.5 	3035.9 	3023.8 	3148.4 	3154.6 	3114.0 	3019.1 	3082.1 	3100.5 	3060.5 	: 
C,PPS,HU	: 	1757.5 	1581.9 	1677.8 	1501.0 	1522.6 	1483.3 	1433.2 	1438.5 	1331.2 	1277.0 	1241.9 	1131.9 	: 
C,PPS,IE	: 	: 	3430.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,PPS,IT	: 	: 	: 	: 	: 	: 	3175.5 	3143.4 	: 	: 	: 	: 	: 	: 
C,PPS,LT	: 	1576.3 	1378.7 	1251.2 	1153.3 	1231.6 	1109.0 	1058.7 	926.1 	764.9 	738.9 	641.1 	516.5 	: 
C,PPS,LU	3373.1 	3358.9 	3319.9 	3182.7 	3432.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,PPS,LV	1228.4 	1161.4 	978.7 	809.8 	745.3 	711.0 	684.4 	607.3 	587.2 	593.6 	527.8 	512.0 	: 	: 
C,PPS,MT	: 	1145.5 	1174.7 	1154.7 	1130.2 	1822.0 	1649.4 	: 	: 	: 	: 	: 	: 	: 
C,PPS,NL	: 	: 	: 	6837.5 	6541.9 	5937.4 	6037.2 	5534.8 	5337.9 	4947.1 	4899.9 	4634.2 	4459.0 	: 
C,PPS,PL	: 	2768.5 	2478.7 	2334.2 	2229.2 	2010.4 	2001.3 	1885.4 	1770.4 	1722.9 	1614.9 	1527.2 	1458.0 	: 
C,PPS,PT	1494.4 	1477.5 	1398.2 	1394.7 	1354.2 	1356.9 	1334.6 	1347.5 	1354.6 	1312.1 	1256.2 	1261.1 	1233.8 	: 
C,PPS,RO	: 	1590.0 	1524.6 	1299.2 	1122.1 	1000.9 	1016.8 	1006.0 	859.4 	773.9 	740.4 	714.9 	840.6 	: 
C,PPS,SE	: 	4253.2 	3876.1 	3775.6 	3645.5 	3460.8 	3335.5 	3239.7 	3188.0 	3237.9 	3096.4 	2951.5 	2793.1 	2536.4 
C,PPS,SI	: 	2897.9 	2835.9 	2779.2 	2652.4 	2365.9 	2323.2 	2214.0 	2106.3 	2013.7 	1908.8 	1858.2 	1719.2 	1627.0 
C,PPS,SK	: 	1487.2 	1413.8 	1250.3 	1131.8 	1086.6 	1146.6 	1126.5 	1204.7 	1071.8 	915.0 	824.6 	876.7 	: 
C,PPS,UK	: 	5888.9 	5948.5 	5249.4 	4938.0 	5074.0 	5057.0 	4954.3 	4527.5 	3687.7 	3567.9 	3251.1 	3277.1 	: 
C-E,EUR,AT	4261.0 	4235.0 	4119.0 	4026.0 	3917.0 	3840.0 	3753.0 	3663.0 	3583.0 	3523.0 	3412.6 	3357.5 	3407.7 	: 
C-E,EUR,BE	4766.5 	4640.5 	4400.4 	4279.8 	4217.2 	4117.3 	4114.4 	3924.2 	3733.9 	: 	: 	: 	: 	: 
C-E,EUR,BG	: 	288.9 	252.2 	239.8 	229.4 	215.5 	207.3 	202.1 	191.9 	: 	: 	: 	: 	: 
C-E,EUR,CY	2233.6 	2111.4 	2030.3 	1943.4 	1833.8 	1753.2 	1656.5 	1576.7 	1524.6 	1410.9 	1372.0 	1325.2 	1232.4 	: 
C-E,EUR,CZ	: 	1067.0 	975.4 	881.3 	790.2 	737.0 	724.1 	614.1 	550.0 	491.2 	473.3 	427.4 	399.0 	336.1 
C-E,EUR,DE	: 	4356.0 	4308.0 	4144.0 	4115.0 	4002.0 	3886.0 	3810.0 	3704.0 	3531.0 	3454.0 	3370.0 	3286.0 	: 
C-E,EUR,DK	: 	4665.8 	4477.9 	4315.2 	4152.5 	4061.1 	3895.8 	3718.5 	3566.9 b	3426.8 	3244.6 	3148.9 	: 	: 
C-E,EUR,EE	1071.9 	943.4 	782.8 	673.1 	601.9 	557.4 	517.4 	465.5 	418.7 	376.0 	357.6 	317.8 	272.8 	: 
C-E,EUR,EL	: 	: 	: 	: 	: 	2063.2 	1920.3 	1798.9 	1706.2 	1652.6 	1526.1 	1530.0 	1453.1 	1374.8 
C-E,EUR,ES	: 	2625.9 	2545.6 	2458.4 	2387.1 	2306.1 	2201.8 	2102.5 b	2208.0 	2201.4 	2172.5 	2186.8 	2274.6 	: 
C-E,EUR,FI	4212.0 	4011.0 	3931.0 	3827.0 	3618.0 	3560.0 	3419.0 	3018.0 	2985.6 	2872.0 	2762.7 	2767.2 	2786.0 	: 
C-E,EUR,FR	4302.7 	4148.0 	4020.8 	3903.5 	3789.8 	3594.9 	3503.8 	3454.9 	3360.5 	3318.2 	3228.1 	3162.2 	3342.9 	: 
C-E,EUR,HU	: 	1050.3 	927.7 	911.1 	847.7 	751.1 	724.1 	610.3 	546.8 	482.5 	457.1 	470.2 	430.9 	: 
C-E,EUR,IE	: 	: 	3659.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,EUR,IT	: 	: 	: 	: 	: 	: 	2827.0 	2746.0 	: 	: 	: 	: 	: 	: 
C-E,EUR,LT	: 	744.3 	611.4 	529.4 	465.1 	475.3 	459.6 	431.6 	394.6 	341.0 	306.0 	269.6 	194.5 	: 
C-E,EUR,LU	4630.0 	4515.0 	4387.0 	4254.0 	4100.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,EUR,LV	801.0 	667.1 	518.7 	426.5 	382.5 	353.4 	359.7 	350.5 	342.0 	295.7 	268.4 	258.8 	: 	: 
C-E,EUR,MT	: 	1418.1 	1380.0 	1308.4 	1260.1 	1258.6 	1249.8 	: 	: 	: 	: 	: 	: 	: 
C-E,EUR,NL	: 	: 	: 	4111.0 	4048.0 	3896.0 	3701.0 	3492.0 	3313.0 	3183.0 	3049.0 	2938.0 b	3140.0 	: 
C-E,EUR,PL	: 	976.2 	873.0 	801.7 	681.1 	678.7 	758.1 	766.2 	657.0 	584.9 	553.1 	509.3 	452.2 	: 
C-E,EUR,PT	1450.1 	1397.0 	1359.5 	1315.2 	1271.0 	1201.9 	1136.5 	1074.7 	1022.3 	997.1 	956.1 	936.7 	916.7 	: 
C-E,EUR,RO	: 	516.0 	419.2 	362.9 	274.3 	244.9 	251.2 	246.7 	221.4 	180.4 	195.2 	158.1 	162.7 	: 
C-E,EUR,SE	: 	4781.5 	4545.6 	4494.4 	4434.3 	4234.1 	4022.0 	3845.8 	4027.7 	3593.5 	3455.2 	3411.4 	3308.7 	2803.2 
C-E,EUR,SI	: 	1670.0 	1574.7 	1504.3 	1419.5 	1387.9 	1339.0 	1264.4 	1194.1 	1257.6 	1198.5 	1102.4 	1018.8 	989.8 
C-E,EUR,SK	: 	910.5 	755.4 	673.2 	634.4 	553.3 	496.2 	449.0 	426.7 	378.1 	398.5 	385.1 	318.7 	: 
C-E,EUR,UK	: 	4218.7 	4138.0 	3992.4 	3878.9 	3655.5 	3904.0 	3811.1 	3719.6 	3282.0 	3067.6 	2847.0 	2307.7 	: 
C-E,NAC,AT	4261.0 	4235.0 	4119.0 	4026.0 	3917.0 	3840.0 	3753.0 	3663.0 	3583.0 	3523.0 	3436.0 	3373.0 	3327.0 	: 
C-E,NAC,BE	4766.5 	4640.5 	4400.4 	4279.8 	4217.2 	4117.3 	4114.4 	3924.2 	3733.9 	: 	: 	: 	: 	: 
C-E,NAC,BG	: 	565.0 	493.3 	469.0 	448.0 	420.0 	404.0 	393.7 	374.7 	: 	: 	: 	: 	: 
C-E,NAC,CY	2233.6 	2101.9 	1997.4 	1915.3 	1823.1 	1749.6 	1628.3 	1551.4 	1495.0 	1395.3 	1358.0 	1318.8 	1246.4 	: 
C-E,NAC,CZ	: 	29625.0 	27644.0 	26247.0 	25201.0 	23470.0 	22306.0 	20922.4 	19580.8 	18117.4 	17062.2 	15356.0 	13747.8 	11660.0 
C-E,NAC,DE	: 	4356.0 	4308.0 	4144.0 	4115.0 	4002.0 	3886.0 	3810.0 	3704.0 	3531.0 	3477.5 	3384.7 	3208.2 	: 
C-E,NAC,DK	: 	34763.0 	33401.0 	32156.0 	30894.0 	30177.0 	28948.0 	27711.0 	26587.0 b	25480.0 	24332.0 	23565.0 	: 	: 
C-E,NAC,EE	1071.9 	943.4 	782.8 	673.1 	601.9 	557.4 	517.4 	465.5 	418.7 	376.0 	359.9 	319.1 	266.3 	: 
C-E,NAC,EL	: 	: 	: 	: 	: 	2063.2 	1920.3 	1798.9 	1685.6 	1579.9 	1481.2 	1389.0 	1302.9 	1222.5 
C-E,NAC,ES	: 	2625.9 	2545.6 	2458.4 	2387.1 	2306.1 	2201.8 	2102.5 b	2208.0 	2201.4 	2182.9 	2180.2 	2197.5 	: 
C-E,NAC,FI	4212.0 	4011.0 	3931.0 	3827.0 	3618.0 	3560.0 	3419.0 	3018.0 	2985.6 	2872.0 	2779.8 	2736.9 	2730.9 	: 
C-E,NAC,FR	4302.7 	4148.0 	4020.8 	3903.5 	3789.8 	3594.9 	3503.8 	3454.9 	3360.5 	3318.2 	3248.7 	3187.7 	3309.0 	: 
C-E,NAC,HU	: 	264003.0 	245154.0 	225992.0 	213324.0 	190485.0 	175936.0 	156608.0 	142189.0 	121953.0 	109968.0 	99529.0 	83485.0 	: 
C-E,NAC,IE	: 	: 	3659.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,NAC,IT	: 	: 	: 	: 	: 	: 	2827.0 	2746.0 	: 	: 	: 	: 	: 	: 
C-E,NAC,LT	: 	2570.0 	2111.0 	1828.0 	1606.0 	1641.0 	1590.0 	1546.0 	1458.0 	1454.0 	1372.0 	1223.0 	988.0 	: 
C-E,NAC,LU	4630.0 	4515.0 	4387.0 	4254.0 	4100.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,NAC,LV	562.9 	467.0 	361.1 	297.0 	254.5 	226.4 	209.0 	196.3 	191.2 	185.0 	177.2 	170.7 	: 	: 
