nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C,PPS,NL	: 	: 	: 	46.61 	44.25 	40.63 	41.22 	37.83 	36.98 	34.12 	33.38 	31.77 	32.35 	: 
C,PPS,PL	: 	19.84 	17.81 	16.73 	15.85 	14.35 	14.38 	13.61 	12.73 	12.39 	11.69 	10.97 	10.41 	: 
C,PPS,PT	9.94 	9.83 	9.26 	9.39 	9.16 	9.18 	9.15 	9.25 	9.36 	9.02 	8.58 	8.55 	8.29 	: 
C,PPS,RO	: 	10.70 	10.38 	8.99 	7.73 	6.97 	7.25 	6.73 	5.85 	: 	: 	: 	: 	: 
C,PPS,SE	: 	31.10 	28.35 	27.61 	26.66 	25.85 	24.92 	24.20 	23.82 	23.15 	22.14 	21.10 	19.97 	18.13 
C,PPS,SI	: 	21.79 	21.49 	20.90 	19.62 	18.03 	17.70 	16.77 	16.00 	15.39 	14.58 	14.36 	13.28 	12.62 
C,PPS,SK	: 	10.72 	9.91 	8.92 	8.12 	8.16 	8.55 	8.63 	8.67 	7.65 	7.23 	7.34 	6.44 	: 
C,PPS,UK	: 	30.75 	31.06 	27.42 	29.26 	28.64 	30.18 	28.76 	26.48 	21.81 	20.62 	18.59 	19.03 	: 
C-E,EUR,AT	29.72 	28.91 	28.34 	28.08 	27.50 	26.99 	26.31 	25.39 	24.58 	24.34 	23.61 	23.39 	23.90 	: 
C-E,EUR,BE	37.47 	36.48 	34.59 	33.65 	33.15 	32.09 	32.07 	30.59 	29.11 	: 	: 	: 	: 	: 
C-E,EUR,BG	: 	1.97 	1.73 	1.65 	1.58 	1.49 	1.44 	1.41 	1.35 	1.27 e	1.16 e	: 	: 	: 
C-E,EUR,CH	34.40 	: 	33.41 	: 	32.85 	: 	34.13 	: 	30.24 	: 	: 	: 	: 	: 
C-E,EUR,CY	12.44 	11.72 	11.25 	11.11 	10.65 	10.12 	9.56 	8.99 	8.73 	8.02 	7.89 	7.59 	7.06 	: 
C-E,EUR,CZ	: 	7.60 	6.91 	6.24 	5.61 	5.32 	5.21 	4.44 	3.70 	3.30 	3.20 	2.89 	2.72 	2.35 
C-E,EUR,DE	: 	32.10 	31.70 	30.50 	30.30 	30.20 	29.50 	28.90 	27.90 	26.50 	26.00 	25.60 	25.10 	: 
C-E,EUR,DK	: 	34.52 	32.74 	31.39 	30.15 	29.75 	28.52 	27.30 	25.82 	24.99 	23.93 	22.82 	: 	: 
C-E,EUR,EE	7.32 	6.39 	5.28 	4.54 	4.03 	3.76 	3.46 	3.13 	2.84 	2.57 	2.46 	2.18 	1.88 	: 
C-E,EUR,EL	: 	: 	: 	: 	: 	13.97 	12.98 	12.07 	11.36 	10.91 	9.99 	9.94 	9.35 	8.77 
C-E,EUR,ES	: 	18.70 	18.05 	17.36 	16.73 	16.05 	15.24 	14.48 	15.51 	15.45 	15.29 	15.41 	16.09 	: 
C-E,EUR,FI	31.24 	29.75 	29.16 	28.39 	26.83 	26.40 	25.36 	23.77 	22.11 	21.13 	20.24 	20.15 	20.25 	: 
C-E,EUR,FR	33.46 	32.46 	31.47 	30.43 	29.48 	28.46 	27.71 	26.76 	25.62 	24.47 	23.81 	23.33 	22.87 	: 
C-E,EUR,HU	: 	7.11 	6.22 	6.11 	5.63 	5.09 	4.92 	4.11 	3.75 	3.21 	3.08 	3.18 	2.93 	: 
C-E,EUR,IE	: 	: 	22.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,EUR,IT	: 	: 	: 	: 	: 	: 	19.71 	19.04 	18.64 	: 	: 	: 	: 	: 
C-E,EUR,LT	: 	4.90 	4.03 	3.44 	3.10 	3.08 	2.97 	2.81 	2.68 	2.33 	2.04 	1.83 	1.38 	: 
C-E,EUR,LU	32.17 	31.32 	30.43 	29.51 	28.44 	25.32 	24.46 	23.46 	23.11 	22.89 	22.27 	21.99 	22.36 	: 
C-E,EUR,LV	5.34 	4.40 	3.40 	2.79 	2.55 	2.40 	2.44 	2.34 	2.25 	1.97 	1.79 	1.68 	: 	: 
C-E,EUR,MT	: 	9.31 	9.20 	8.25 	7.91 	7.67 	7.25 	: 	: 	: 	: 	: 	: 	: 
C-E,EUR,NL	: 	: 	: 	29.04 	28.68 	27.68 	26.42 	25.11 	23.90 	22.94 	21.83 	20.88 b	23.38 	: 
C-E,EUR,PL	: 	6.69 	5.95 	5.46 	4.65 	4.60 	5.15 	5.19 	4.38 	3.94 	3.74 	3.42 	3.04 	: 
C-E,EUR,PT	9.80 	9.44 	9.21 	9.00 	8.70 	8.30 	7.90 	7.50 	7.17 	6.96 	6.62 	6.42 	6.23 	: 
C-E,EUR,RO	: 	3.35 	2.73 	2.38 	1.79 	1.61 	1.70 	1.62 	1.47 	: 	: 	: 	: 	: 
C-E,EUR,SE	: 	34.73 	33.02 	32.65 	32.21 	29.90 	28.40 	27.16 	28.45 	25.48 	24.50 	24.19 	23.46 	19.87 
C-E,EUR,SI	: 	11.04 	10.52 	10.16 	9.82 	9.83 	9.43 	8.90 	8.42 	8.89 	8.46 	7.79 	7.20 	7.04 
C-E,EUR,SK	: 	6.44 	5.28 	4.69 	4.49 	4.06 	3.61 	3.17 	3.04 	2.68 	2.89 	2.56 	2.30 	: 
C-E,EUR,UK	: 	24.51 	24.04 	23.19 	24.99 	23.56 	25.27 	24.43 	23.81 	21.15 	19.63 	17.95 	14.79 	: 
C-E,NAC,AT	29.72 	28.91 	28.34 	28.08 	27.50 	26.99 	26.31 	25.39 	24.58 	24.34 	23.77 	23.50 	23.33 	: 
C-E,NAC,BE	37.47 	36.48 	34.59 	33.65 	33.15 	32.09 	32.07 	30.59 	29.11 	: 	: 	: 	: 	: 
C-E,NAC,BG	: 	3.85 	3.39 	3.23 	3.08 	2.91 	2.81 	2.75 	2.64 	2.49 e	2.28 e	: 	: 	: 
C-E,NAC,CH	54.60 	: 	52.55 	: 	50.71 	: 	50.07 	: 	47.11 	: 	: 	: 	: 	: 
C-E,NAC,CY	12.44 	11.67 	11.07 	10.95 	10.59 	10.10 	9.40 	8.85 	8.56 	7.93 	7.81 	7.55 	7.14 	: 
C-E,NAC,CZ	: 	210.92 	195.73 	185.93 	178.93 	169.27 	160.34 	151.35 	131.74 	121.73 	115.50 	103.75 	93.84 	81.53 
C-E,NAC,DE	: 	32.10 	31.70 	30.50 	30.30 	30.20 	29.50 	28.90 	27.90 	26.50 	26.18 	25.71 	24.51 	: 
C-E,NAC,DK	: 	257.17 	244.20 	233.88 	224.34 	221.08 	211.92 	203.45 	192.46 	185.79 	179.46 	170.80 	: 	: 
C-E,NAC,EE	7.32 	6.39 	5.28 	4.54 	4.03 	3.76 	3.46 	3.13 	2.84 	2.57 	2.48 	2.19 	1.84 	: 
C-E,NAC,EL	: 	: 	: 	: 	: 	13.97 	12.98 	12.07 	11.22 	10.43 	9.70 	9.02 	8.38 	7.80 
C-E,NAC,ES	: 	18.70 	18.05 	17.36 	16.73 	16.05 	15.24 	14.48 	15.51 	15.45 	15.36 	15.36 	15.54 	: 
C-E,NAC,FI	31.24 	29.75 	29.16 	28.39 	26.83 	26.40 	25.36 	23.77 	22.11 	21.13 	20.37 	19.93 	19.85 	: 
C-E,NAC,FR	33.46 	32.46 	31.47 	30.43 	29.48 	28.46 	27.71 	26.76 	25.62 	24.47 	23.96 	23.52 	22.64 	: 
C-E,NAC,HU	: 	1786.00 	1644.00 	1515.00 	1418.00 	1291.00 	1195.00 	1055.00 	975.00 	812.00 	741.00 	673.56 	568.25 	: 
C-E,NAC,IE	: 	: 	22.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,NAC,IT	: 	: 	: 	: 	: 	: 	19.71 	19.04 	18.64 	: 	: 	: 	: 	: 
C-E,NAC,LT	: 	16.93 	13.90 	11.87 	10.69 	10.63 	10.29 	10.08 	9.89 	9.93 	9.15 	8.30 	7.00 	: 
C-E,NAC,LU	32.17 	31.32 	30.43 	29.51 	28.44 	25.32 	24.46 	23.46 	23.11 	22.89 	22.43 	22.10 	21.78 	: 
C-E,NAC,LV	3.75 	3.08 	2.37 	1.94 	1.70 	1.54 	1.42 	1.31 	1.26 	1.23 	1.18 	1.11 	: 	: 
C-E,NAC,MT	: 	9.31 	9.20 	8.26 	7.89 	7.61 	6.91 	: 	: 	: 	: 	: 	: 	: 
C-E,NAC,NL	: 	: 	: 	29.04 	28.68 	27.68 	26.42 	25.11 	23.90 	22.94 	21.99 	20.95 	22.70 	: 
C-E,NAC,PL	: 	25.30 	23.19 	21.96 	21.06 	20.23 	19.86 	19.04 	17.55 	16.64 	14.64 	12.69 	10.39 	: 
C-E,NAC,PT	9.80 	9.44 	9.21 	9.00 	8.70 	8.30 	7.90 	7.50 	7.17 	6.96 	6.66 	6.36 	6.08 	: 
C-E,NAC,RO	: 	11.18 	9.63 	8.60 	7.25 	6.06 	5.31 	4.20 	2.92 	: 	: 	: 	: 	: 
C-E,NAC,SE	: 	321.29 	305.58 	303.05 	293.91 	272.84 	260.22 	251.37 	240.23 	224.39 	218.41 	209.24 	199.74 	185.46 
C-E,NAC,SI	: 	11.04 	10.52 	10.16 	9.80 	9.59 	8.89 	8.10 	7.26 	7.21 	6.57 	5.88 	5.16 	4.55 
C-E,NAC,SK	: 	7.22 	6.53 	6.01 	5.96 	5.59 	5.12 	4.56 	4.30 	3.92 	3.79 	3.24 	2.98 	: 
C-E,NAC,UK	: 	16.77 	16.39 	15.86 	16.96 	16.30 	15.89 	15.19 	14.51 	13.93 	13.28 	12.43 	12.04 	: 
C-E,PPS,AT	28.18 	28.19 	27.80 	27.36 	26.62 	26.12 	25.44 	24.23 	24.14 	23.22 	22.42 	21.83 	21.35 	: 
C-E,PPS,BE	33.93 	33.96 	32.11 	31.59 	31.05 	30.12 	31.60 	29.65 	28.55 	: 	: 	: 	: 	: 
C-E,PPS,BG	: 	4.32 	3.86 	3.82 	3.75 	3.67 	3.53 	3.45 	3.50 	3.36 e	3.09 e	: 	: 	: 
C-E,PPS,CH	26.61 	: 	24.82 	: 	23.33 	: 	23.26 	: 	21.22 	: 	: 	: 	: 	: 
C-E,PPS,CY	14.01 	13.28 	12.46 	12.28 	11.68 	11.13 	10.73 	10.12 	9.92 	9.18 	9.05 	8.76 	8.17 	: 
C-E,PPS,CZ	: 	12.17 	11.26 	10.73 	10.13 	9.74 	9.12 	8.89 	7.70 	7.11 	6.75 	6.50 	6.21 	5.64 
C-E,PPS,DE	: 	31.56 	30.89 	29.50 	28.92 	28.45 	27.67 	27.02 	26.19 	24.70 	23.91 	23.36 	21.98 	: 
C-E,PPS,DK	: 	25.14 	23.66 	22.33 	21.60 	21.08 	21.31 	20.20 	19.83 	19.01 	18.49 	17.35 	: 	: 
C-E,PPS,EE	9.42 	8.71 	7.71 	7.02 	6.39 	6.06 	5.68 	5.13 	4.96 	4.53 	4.55 	4.30 	3.78 	: 
C-E,PPS,EL	: 	: 	: 	: 	: 	16.26 	16.19 	14.67 	13.39 	12.36 	11.66 	11.35 	10.87 	10.58 
C-E,PPS,ES	: 	20.14 	19.67 	19.03 	18.39 	18.16 	18.01 	16.96 	18.25 	17.96 	17.87 	17.72 	17.71 	: 
C-E,PPS,FI	25.75 	24.88 	23.76 	22.94 	21.67 	20.85 	20.46 	19.05 	18.30 	17.28 	16.46 	16.12 	15.81 	: 
C-E,PPS,FR	29.89 	30.04 	28.99 	28.09 	26.80 	25.88 	26.78 	25.71 	24.21 	22.39 	21.50 	20.83 	19.51 	: 
C-E,PPS,HU	: 	10.65 	10.26 	9.63 	9.09 	8.74 	8.56 	7.77 	7.63 	6.83 	6.74 	6.86 	6.61 	: 
C-E,PPS,IE	: 	: 	18.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C-E,PPS,IT	: 	: 	: 	: 	: 	: 	19.19 	19.09 	19.12 	: 	: 	: 	: 	: 
C-E,PPS,LT	: 	8.17 	7.02 	6.26 	5.79 	5.88 	5.49 	5.20 	5.09 	4.97 	4.48 	4.23 	3.77 	: 
C-E,PPS,LU	27.38 	27.29 	27.33 	26.41 	27.60 	24.52 	23.96 	22.66 	22.78 	22.26 	21.37 	20.63 	20.51 	: 
C-E,PPS,LV	7.14 	6.60 	5.60 	4.89 	4.54 	4.41 	4.29 	3.96 	3.83 	3.77 	3.63 	3.52 	: 	: 
C-E,PPS,MT	: 	12.34 	12.30 	11.29 	10.81 	10.65 	9.73 	: 	: 	: 	: 	: 	: 	: 
C-E,PPS,NL	: 	: 	: 	27.71 	27.02 	25.68 	25.68 	24.39 	23.90 	22.34 	21.37 	20.20 	21.75 	: 
