countries,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
270,0.000332225750790692,0.00031294432347147146,0.00019251571705862725,0.0003364416655318992,0.00014704906310913332,0.00022289186727870517,7.616348806567523e-05,0.00019368717056776098,0.00018340666416651226,7.23021932117695e-05,0.0007480712331439126,0.0011639215373336136,0.0011423320774757095,0.0012132705684219434,0.0012672016224223365,0.0007307060729365522,0.0007453807590410066,0.0010098547299709478,0.000137821270487005
276,8.968559220901568,8.058069370287342,8.461442192874264,8.692748338777232,8.83891745834303,8.83763273145185,8.695143626844285,8.8439564498094,8.763536134131442,8.885885604903113,9.12257069710259,8.41992465326163,8.076976175296789,7.701795485494305,7.785157009721664,7.770719201906083,7.315701021997892,7.656656762969022,7.576808381335133
300,0.2262431525935961,0.1977244699574414,0.2219379206347047,0.19062884085294152,0.22284793059251057,0.20897259335654178,0.21655964744836678,0.22840125413000645,0.2311485768580648,0.23906920577876617,0.22598794412467774,0.1994723275518987,0.186800073380903,0.17131253640425811,0.1686017537332666,0.17112934739730387,0.1618665856267688,0.18215750217094073,0.1827784239697392
31,0.0029560738498301915,0.003934982776755717,0.0032481208055202583,0.0034058655186748566,0.003943364356512105,0.007719459854404637,0.009290755879202079,0.009150877331423266,0.008447690693982528,0.012960726461131743,0.011127320031741014,0.01039937062742034,0.01054654011875613,0.010658091306469768,0.011019671460197469,0.011725608968038667,0.009820382021338059,0.008509098329779138,0.010471843975990129
32,0.4219479062707549,0.41565783960975994,0.40407757869108224,0.3701955604645762,0.3835833557924291,0.38775270856998545,0.41267920375116074,0.41752422156430474,0.44080909255098505,0.481644773463357,0.44015847951879217,0.46615907590437067,0.46874395429766524,0.4270057934467809,0.38420618303748494,0.3480050540686927,0.3295299217315852,0.3478354224958808,0.32788370569851616
320,0.04222153514088214,0.04341628797666534,0.04378195265497754,0.040085392180724086,0.038583641200690195,0.03516358764563321,0.05439811856457953,0.03327673887627647,0.05740105643479328,0.05735802705621846,0.061548895829361704,0.06237018977242809,0.06261057753009669,0.061495788872819604,0.06203773391367581,0.06268961575493319,0.06964491318868761,0.07135660467656142,0.07096121190094008
328,0.00449712926920622,0.004245015247609492,0.0038639674164321286,0.003706255656227843,0.003935726619387804,0.0028537503393712685,0.0028092092262410303,0.00278764454626867,0.0032706394399716386,0.00275796909162288,0.002817967358605978,0.0025874142313779534,0.002551724998573264,0.0026423888662237788,0.0027129029549321794,0.0027442151310073494,0.0068424279249513125,0.004447017655085286,0.006739903181518247
344,6.719842040605699,7.024362960551997,6.451247561840924,5.90943095913379,5.513771901927785,5.2019053655063585,4.974045203333093,4.338783287384517,3.8726761399553675,3.5278610006135476,3.2581224861720197,3.0913953570161405,2.863228125867404,2.6375673262815287,2.481536455585538,2.3588909180053563,2.3664655299158293,2.132644527626488,2.113644606213985
348,0.2893299377574573,0.30764880098217406,0.3541789455884805,0.3729303872864891,0.3643282149930185,0.3815706572858098,0.36856153036441386,0.3788287548004269,0.39778376057237874,0.422969982771731,0.40683805582834226,0.3867683665074862,0.40547761736664534,0.3912351583083546,0.4225533577372557,0.43850486378148346,0.40912021279322464,0.43467408511269234,0.4407577054506898
352,0.0226011698900886,0.020736035990393132,0.02003551143822464,0.022399296829264885,0.020458329520813806,0.020228400384424743,0.01891479030247198,0.01704948897522887,0.022575417598382382,0.01963061389589373,0.020631339143708113,0.016965792093703698,0.016082561955330494,0.016604726683622402,0.015427992142458602,0.014525898340315316,0.014643797374021229,0.01569975032892232,0.014808031580827514
