network_id,from_id,to_id,export_value,alpha,network_name
0,348,203,347115645,0.2358,Food and live animals
0,348,208,40021221,0.85,Food and live animals
0,348,233,2003783,0.9919,Food and live animals
0,348,246,4314904,0.9827,Food and live animals
0,348,251,231610373,0.3848,Food and live animals
0,348,276,1065844590,0.0089,Food and live animals
0,348,300,38909497,0.8538,Food and live animals
0,348,372,15364962,0.9741,Food and live animals
0,348,381,333561357,0.3719,Food and live animals
0,348,428,4810637,0.7485,Food and live animals
0,348,440,13538389,0.6784,Food and live animals
0,348,442,1965107,0.9745,Food and live animals
0,348,528,395730966,0.8316,Food and live animals
0,348,616,588522499,0.5008,Food and live animals
0,348,620,5701977,0.8985,Food and live animals
0,348,642,289968249,0.0058,Food and live animals
0,348,703,597410672,0.0571,Food and live animals
0,348,705,61647171,0.1361,Food and live animals
0,348,724,247995543,0.8944,Food and live animals
0,348,752,11066652,0.8309,Food and live animals
0,348,826,66122157,0.847,Food and live animals
0,372,40,28834321,0.9145,Food and live animals
0,372,56,250906725,0.4546,Food and live animals
0,372,100,7643417,0.9766,Food and live animals
0,372,191,1914421,0.9941,Food and live animals
0,372,196,1360344,0.9958,Food and live animals
0,372,203,6414069,0.9803,Food and live animals
0,372,208,145977151,0.634,Food and live animals
0,372,233,292757,0.9991,Food and live animals
0,372,246,12458950,0.9621,Food and live animals
0,372,251,478158165,0.2179,Food and live animals
0,372,276,626838051,0.1332,Food and live animals
0,372,300,10451308,0.9682,Food and live animals
0,372,348,8473732,0.9741,Food and live animals
0,372,381,176701744,0.7157,Food and live animals
0,372,428,12953146,0.5087,Food and live animals
0,372,440,10275221,0.9521,Food and live animals
0,372,442,1603967,0.943,Food and live animals
0,372,470,506000,0.3785,Food and live animals
0,372,528,996478542,0.5539,Food and live animals
0,372,616,186672152,0.7572,Food and live animals
0,372,620,26302217,0.8061,Food and live animals
0,372,642,39066021,0.9265,Food and live animals
0,372,703,2635594,0.9691,Food and live animals
0,372,705,548108,0.9522,Food and live animals
0,372,724,234373597,0.721,Food and live animals
0,372,752,32081189,0.6057,Food and live animals
0,372,826,4936637543,0.0402,Food and live animals
0,381,40,1362588494,0.2749,Food and live animals
0,381,56,1357433319,0.2763,Food and live animals
0,381,100,187755009,0.8401,Food and live animals
0,381,191,282520437,0.7691,Food and live animals
0,381,196,6984178,0.9936,Food and live animals
0,381,203,235015927,0.804,Food and live animals
0,381,208,828341258,0.4596,Food and live animals
0,381,233,20483540,0.9812,Food and live animals
0,381,246,18818481,0.9827,Food and live animals
0,381,251,5787265294,0.0025,Food and live animals
0,381,276,5775496679,0.0025,Food and live animals
0,381,300,697735516,0.5203,Food and live animals
0,381,348,1049547421,0.3719,Food and live animals
0,381,372,359401744,0.7157,Food and live animals
0,381,428,20514662,0.2222,Food and live animals
0,381,440,268438168,0.313,Food and live animals
0,381,442,19210303,0.2993,Food and live animals
0,381,470,14783000,0.0,Food and live animals
0,381,528,2924524730,0.4025,Food and live animals
0,381,616,1289128991,0.2683,Food and live animals
0,381,620,240066576,0.2316,Food and live animals
0,381,642,507679405,0.1126,Food and live animals
0,381,703,102490934,0.3964,Food and live animals
0,381,705,280193847,0.0034,Food and live animals
0,381,724,4228175642,0.1329,Food and live animals
0,381,752,396874336,0.1289,Food and live animals
0,381,826,719951752,0.0899,Food and live animals
0,428,40,6691934,0.9077,Food and live animals
0,428,56,63256530,0.3944,Food and live animals
0,428,100,3289692,0.9535,Food and live animals
0,428,191,653545,0.9906,Food and live animals
0,428,196,225365,0.9967,Food and live animals
0,428,203,20107736,0.7466,Food and live animals
0,428,208,68510792,0.3645,Food and live animals
0,428,233,225528259,0.0308,Food and live animals
0,428,246,33852519,0.6103,Food and live animals
0,428,251,133497048,0.1348,Food and live animals
0,428,276,218874213,0.0343,Food and live animals
0,428,300,9700854,0.8689,Food and live animals
0,428,348,19939644,0.7485,Food and live animals
0,428,372,46181238,0.5087,Food and live animals
0,428,381,101153790,0.2222,Food and live animals
0,428,440,578034639,0.0049,Food and live animals
0,428,442,72620,0.9969,Food and live animals
0,428,528,127381478,0.9339,Food and live animals
