EUR,B-S_X_O,D1_D4_MD5,MT	: 	9.6 	11.4 	11.8 	14.2 	14.6 	14.7 
EUR,B-S_X_O,D1_D4_MD5,NL	23.0 d	27.4 d	29.8 	32.5 	34.5 	35.1 	35.9 
EUR,B-S_X_O,D1_D4_MD5,NO	: 	: 	: 	56.4 	49.3 	50.1 	50 
EUR,B-S_X_O,D1_D4_MD5,PL	: 	4.7 	7.6 	7.9 	8.7 	9.5 	10.1 
EUR,B-S_X_O,D1_D4_MD5,PT	: 	11.3 	12.2 	13.3 	13.6 	14 	14.2 
EUR,B-S_X_O,D1_D4_MD5,RO	: 	1.9 	4.2 	4.1 	5.3 	6.2 	6.8 
EUR,B-S_X_O,D1_D4_MD5,SE	: 	29.0 d	31.6 	37.3 	37.7 	38.1 	36.6 
EUR,B-S_X_O,D1_D4_MD5,SI	9.4 d	11.2 d	13.9 	15.6 	16.8 	17.6 	18.1 
EUR,B-S_X_O,D1_D4_MD5,SK	2.8 	4.1 	7 	8.9 	10.2 	10.9 	11.6 
EUR,B-S_X_O,D1_D4_MD5,UK	23.3 	21.6 	23.7 	25 	27.9 	26.8 	27.4 
EUR,B-S_X_O,D2-D4_MD5_RAT,AT	: 	25.0 d	25.9 	26.3 	26.6 	26.5 p	26.8 p
EUR,B-S_X_O,D2-D4_MD5_RAT,BE	: 	29.5 d	27.3 	27.8 	24.2 	23.8 	23.5 
EUR,B-S_X_O,D2-D4_MD5_RAT,BG	28.5 d	26.9 d	18.4 	15.7 	15.8 	15.9 	16.2 
EUR,B-S_X_O,D2-D4_MD5_RAT,CY	14.9 d	15.5 d	15.7 	16.6 	17.6 	17.3 	17.3 
EUR,B-S_X_O,D2-D4_MD5_RAT,CZ	27.4 d	27.9 d	26.8 	26.8 	26.9 	26.9 	26.9 
EUR,B-S_X_O,D2-D4_MD5_RAT,DE	: 	21.9 d	22 	22.2 	22.1 	22.3 	22.2 
EUR,B-S_X_O,D2-D4_MD5_RAT,DK	: 	9.1 d	12.2 	13.1 	13.1 	14.2 	14.1 
EUR,B-S_X_O,D2-D4_MD5_RAT,EA	23.6 d	: 	: 	: 	: 	: 	: 
EUR,B-S_X_O,D2-D4_MD5_RAT,EA19	: 	27.1 d	25.8 d	26.4 	25.5 	25.5 	25.6 
EUR,B-S_X_O,D2-D4_MD5_RAT,EE	26.8 d	26.7 d	26.5 	26.6 	26.2 	26.1 	26 
EUR,B-S_X_O,D2-D4_MD5_RAT,EL	22.9 d	25.2 d	19.6 	22 	20.4 	21.5 	21.9 
EUR,B-S_X_O,D2-D4_MD5_RAT,ES	24.8 d	25.9 d	26.1 	25.9 	25.3 	25.5 	25.5 
EUR,B-S_X_O,D2-D4_MD5_RAT,EU28	: 	24.8 	23.6 d	24.2 	23.7 	23.7 	23.7 
EUR,B-S_X_O,D2-D4_MD5_RAT,FI	21.9 d	21.9 d	22.8 	22.2 	22.6 	21.5 	20.8 
EUR,B-S_X_O,D2-D4_MD5_RAT,FR	: 	32.8 d	33.1 d	34.6 	32.5 	32.1 	32.6 
EUR,B-S_X_O,D2-D4_MD5_RAT,HR	: 	15.7 d	15.4 	14.9 	15.3 	15.4 	15.2 
EUR,B-S_X_O,D2-D4_MD5_RAT,HU	33.0 d	30.6 d	29.5 	24.7 	25.4 	21.9 	19.8 
EUR,B-S_X_O,D2-D4_MD5_RAT,IE	: 	13.1 d	14.1 	13.6 	15.6 	15.7 	15.4 
EUR,B-S_X_O,D2-D4_MD5_RAT,IS	: 	15.4 d	18.2 d	20.7 d	20.3 d	19.6 p	20.4 p
EUR,B-S_X_O,D2-D4_MD5_RAT,IT	: 	29.8 d	27.8 	28 	27.9 	28 	28.4 
EUR,B-S_X_O,D2-D4_MD5_RAT,LT	26.9 d	27.6 d	27.9 	28 	28.6 	29.1 	29.2 
EUR,B-S_X_O,D2-D4_MD5_RAT,LU	: 	15.4 d	14 	13.7 	12.6 	11.2 	11.1 
EUR,B-S_X_O,D2-D4_MD5_RAT,LV	: 	21.5 d	21.1 	20.7 	20.9 	20.8 	21.9 
EUR,B-S_X_O,D2-D4_MD5_RAT,MT	: 	6.1 d	8.1 	6.9 	6.1 	6.2 	6.1 
EUR,B-S_X_O,D2-D4_MD5_RAT,NL	22.0 d	23.7 d	23.1 	23.8 	23.4 	23.6 	24 
EUR,B-S_X_O,D2-D4_MD5_RAT,NO	: 	: 	: 	18.1 	18.9 	18.8 	18.7 
EUR,B-S_X_O,D2-D4_MD5_RAT,PL	: 	19.7 d	17.7 	18.3 	18.4 	18.4 	18.4 
EUR,B-S_X_O,D2-D4_MD5_RAT,PT	: 	19.7 d	19 	19.7 	20.2 	20.2 	20.1 
EUR,B-S_X_O,D2-D4_MD5_RAT,RO	: 	26.0 d	23.1 	22.7 	19.6 	19.7 	: 
EUR,B-S_X_O,D2-D4_MD5_RAT,SE	: 	33.3 d	32.9 	31.8 	31.9 	32.3 	32.3 
EUR,B-S_X_O,D2-D4_MD5_RAT,SI	18.4 d	19.4 d	16.8 	15.7 	15.7 	16.2 	16 
EUR,B-S_X_O,D2-D4_MD5_RAT,SK	26.6 d	25.7 d	25.6 	25.8 	26.2 	26.5 	26.7 
EUR,B-S_X_O,D2-D4_MD5_RAT,UK	17.0 d	17.4 	15.2 d	16.4 	17.2 	17.7 	18 
