id,name,year,cluster,fitness,gdp,gdp_aggr,labour_costs,wages,employment,education,complexity,ag1,name_ag1
4,"Dairy products, eggs, honey, edible animal product nes",2008,,,,,,,,,0.5904566690286879,0.0,Food and live animals
5,"Products of animal origin, nes",2008,,,,,,,,,0.7406941975015875,2.0,"Crude materials, inedible, except fuels"
6,"Live trees, plants, bulbs, roots, cut flowers etc",2008,,,,,,,,,0.5006509039752209,2.0,"Crude materials, inedible, except fuels"
7,Edible vegetables and certain roots and tubers,2008,,,,,,,,,0.4075368816025741,0.0,Food and live animals
8,"Edible fruit, nuts, peel of citrus fruit, melons",2008,,,,,,,,,0.1941681442826188,0.0,Food and live animals
9,"Coffee, tea, mate and spices",2008,,,,,,,,,0.09913650056472097,0.0,Food and live animals
10,Cereals,2008,,,,,,,,,0.5098286739587948,0.0,Food and live animals
11,"Milling products, malt, starches, inulin, wheat gluten",2008,,,,,,,,,0.2577128119963969,5.0,"Chemicals and related products, n.e.s."
12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",2008,,,,,,,,,0.43445122018286747,0.0,Food and live animals
13,"Lac, gums, resins, vegetable saps and extracts nes",2008,,,,,,,,,1.1429853176792135,2.0,"Crude materials, inedible, except fuels"
14,"Vegetable plaiting materials, vegetable products nes",2008,,,,,,,,,0.3702780011047418,2.0,"Crude materials, inedible, except fuels"
15,"Animal,vegetable fats and oils, cleavage products, etc",2008,,,,,,,,,0.438140697286169,4.0,"Animal and vegetable oils, fats and waxes"
16,"Meat, fish and seafood food preparations nes",2008,,,,,,,,,0.2696556754903571,0.0,Food and live animals
17,Sugars and sugar confectionery,2008,,,,,,,,,0.13805305356833533,0.0,Food and live animals
18,Cocoa and cocoa preparations,2008,,,,,,,,,0.09527122394155473,0.0,Food and live animals
19,"Cereal, flour, starch, milk preparations and products",2008,,,,,,,,,0.8011417977641005,0.0,Food and live animals
20,"Vegetable, fruit, nut, etc food preparations",2008,,,,,,,,,0.3653572807789595,0.0,Food and live animals
21,Miscellaneous edible preparations,2008,,,,,,,,,0.5216809076342354,0.0,Food and live animals
22,"Beverages, spirits and vinegar",2008,,,,,,,,,0.34242011189209925,0.0,Food and live animals
23,"Residues, wastes of food industry, animal fodder",2008,,,,,,,,,0.4581220434813597,0.0,Food and live animals
24,Tobacco and manufactured tobacco substitutes,2008,,,,,,,,,0.1472323166128586,1.0,Beverages and tobacco
25,"Salt, sulphur, earth, stone, plaster, lime and cement",2008,,,,,,,,,0.27777496716282235,2.0,"Crude materials, inedible, except fuels"
26,"Ores, slag and ash",2008,,,,,,,,,0.34750204651070304,2.0,"Crude materials, inedible, except fuels"
27,"Mineral fuels, oils, distillation products, etc",2008,,,,,,,,,0.1652397547546032,3.0,"Mineral fuels, lubricants and related materials"
28,"Inorganic chemicals, precious metal compound, isotopes",2008,,,,,,,,,0.3800416629462917,5.0,"Chemicals and related products, n.e.s."
29,Organic chemicals,2008,,,,,,,,,1.82209779944226,5.0,"Chemicals and related products, n.e.s."
30,Pharmaceutical products,2008,,,,,,,,,1.2693610383622151,5.0,"Chemicals and related products, n.e.s."
31,Fertilizers,2008,,,,,,,,,0.3725197544658528,5.0,"Chemicals and related products, n.e.s."
32,"Tanning, dyeing extracts, tannins, derivs,pigments etc",2008,,,,,,,,,1.3636382892798276,8.0,Miscellaneous manufactured articles
33,"Essential oils, perfumes, cosmetics, toileteries",2008,,,,,,,,,0.9302462065857364,5.0,"Chemicals and related products, n.e.s."
34,"Soaps, lubricants, waxes, candles, modelling pastes",2008,,,,,,,,,0.8783097801553637,5.0,"Chemicals and related products, n.e.s."
35,"Albuminoids, modified starches, glues, enzymes",2008,,,,,,,,,1.3521053365256168,5.0,"Chemicals and related products, n.e.s."
36,"Explosives, pyrotechnics, matches, pyrophorics, etc",2008,,,,,,,,,1.0884739923353832,8.0,Miscellaneous manufactured articles
37,Photographic or cinematographic goods,2008,,,,,,,,,2.6867508555371535,8.0,Miscellaneous manufactured articles
38,Miscellaneous chemical products,2008,,,,,,,,,1.4653118377730263,5.0,"Chemicals and related products, n.e.s."
39,Plastics and articles thereof,2008,,,,,,,,,1.3257143035573795,8.0,Miscellaneous manufactured articles
40,Rubber and articles thereof,2008,,,,,,,,,1.015988263153233,6.0,Manufactured goods
41,Raw hides and skins (other than furskins) and leather,2008,,,,,,,,,0.5945126381230169,2.0,"Crude materials, inedible, except fuels"
42,"Articles of leather, animal gut, harness, travel goods",2008,,,,,,,,,1.9927979520638903,8.0,Miscellaneous manufactured articles
43,"Furskins and artificial fur, manufactures thereof",2008,,,,,,,,,0.8862535650247698,8.0,Miscellaneous manufactured articles
44,"Wood and articles of wood, wood charcoal",2008,,,,,,,,,0.23728195163739604,6.0,Manufactured goods
45,Cork and articles of cork,2008,,,,,,,,,0.9273118750463742,6.0,Manufactured goods
46,"Manufactures of plaiting material, basketwork, etc.",2008,,,,,,,,,1.5443661572236755,8.0,Miscellaneous manufactured articles
47,"Pulp of wood, fibrous cellulosic material, waste etc",2008,,,,,,,,,1.1929711829488123,2.0,"Crude materials, inedible, except fuels"
48,"Paper & paperboard, articles of pulp, paper and board",2008,,,,,,,,,0.9693674846252571,6.0,Manufactured goods
49,"Printed books, newspapers, pictures etc",2008,,,,,,,,,0.6270785915134439,8.0,Miscellaneous manufactured articles
50,Silk,2008,,,,,,,,,2.8345284537345976,6.0,Manufactured goods
51,"Wool, animal hair, horsehair yarn and fabric thereof",2008,,,,,,,,,0.9173665774194236,6.0,Manufactured goods
52,Cotton,2008,,,,,,,,,0.3278423946422346,6.0,Manufactured goods
53,"Vegetable textile fibres nes, paper yarn, woven fabric",2008,,,,,,,,,0.5602870623699606,6.0,Manufactured goods
54,Manmade filaments,2008,,,,,,,,,1.5648181743173395,6.0,Manufactured goods
55,Manmade staple fibres,2008,,,,,,,,,1.3516279090611072,6.0,Manufactured goods
56,"Wadding, felt, nonwovens, yarns, twine, cordage, etc",2008,,,,,,,,,1.0060156779588132,6.0,Manufactured goods
57,Carpets and other textile floor coverings,2008,,,,,,,,,1.5152916025789809,6.0,Manufactured goods
58,"Special woven or tufted fabric, lace, tapestry etc",2008,,,,,,,,,1.4920475020957165,6.0,Manufactured goods
59,"Impregnated, coated or laminated textile fabric",2008,,,,,,,,,1.5010537621432258,6.0,Manufactured goods
